"admission_date","release_date","race","ethnicity","admission_status","charge","severity","bail_eligible"
2020-03-15,2020-03-20,"Black","Non-Hispanic","Pretrial","VTL 0306","Non-Felony","Non-Eligible"
2019-07-18,2019-07-18,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-16,2019-11-06,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-07,2019-01-14,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-11,2019-01-28,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-19,2019-01-20,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-20,2019-03-06,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-23,2019-02-23,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-05-13,2019-05-29,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-07-05,2019-07-19,"White","Non-Hispanic","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-07-27,2019-07-29,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-07-31,2019-12-04,"Black","Non-Hispanic","Other","VTL 0511","Non-Felony","Non-Eligible"
2019-09-03,2019-09-09,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-09-25,2019-09-26,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-01,2019-10-02,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-04,2019-10-04,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-24,2019-10-24,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-11-05,2019-11-07,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-05-26,2019-05-26,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-07,2019-01-09,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-07,2019-02-19,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-12,2019-01-14,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-15,2019-02-13,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-22,2019-01-23,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-23,2019-01-24,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-24,2019-01-24,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-05,2019-02-05,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-05,2019-02-06,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-06,2019-02-06,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-06,2019-02-08,"Unknown","Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-07,2019-03-01,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-07,2019-02-08,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-08,2019-02-08,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-09,2019-02-09,"Unknown","Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-17,2019-02-17,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-17,2019-02-19,"Unknown","Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-19,2019-02-20,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-20,2019-02-20,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-22,2019-03-06,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-25,2019-03-13,"Unknown","Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-26,2019-02-28,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-27,2019-02-27,"Unknown","Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-02,2019-03-02,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-05,2019-03-05,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-06,2019-03-07,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-10,2019-03-10,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-13,2019-04-15,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-21,2019-03-22,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-28,2019-03-28,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-30,2019-03-31,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-01,2019-04-09,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-06,2019-04-06,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-08,2019-04-08,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-10,2019-04-11,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-12,2019-04-15,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-18,2019-04-18,"Unknown","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-20,2019-04-20,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-21,2019-05-02,"White","Non-Hispanic","Other","VTL 0511","Non-Felony","Non-Eligible"
2019-04-26,2019-04-27,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-05-03,2019-06-07,"Black","Non-Hispanic","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-05-22,2019-05-23,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-05-30,2019-05-31,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-06-13,2019-06-13,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-06-13,2019-06-14,"Unknown","Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-06-17,2019-06-17,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-06-21,2019-06-21,"Unknown","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-06-21,2019-06-21,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-07-03,2019-07-22,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-07-13,2019-07-18,"White","Non-Hispanic","Other","VTL 0511","Non-Felony","Non-Eligible"
2019-07-15,2019-07-15,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-07-17,2019-07-22,"Unknown","Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-07-29,2019-09-27,"Black","Non-Hispanic","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-08-07,2019-08-08,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-08-11,2019-08-12,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-08-14,2019-08-21,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-08-18,2019-08-20,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-08-19,2019-08-20,"Black","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-08-28,2019-08-28,"White","Non-Hispanic","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
