"admission_date","release_date","race","ethnicity","admission_status","charge","severity","bail_eligible"
2019-05-02,2019-05-09,"Black","Unknown","Pretrial","VTL 0509","Non-Felony","Non-Eligible"
2019-01-06,2019-01-24,"Black","Unknown","Pretrial","VTL 0509","Non-Felony","Non-Eligible"
2019-03-29,2019-04-12,"Black","Unknown","Pretrial","VTL 0509","Non-Felony","Non-Eligible"
2019-08-05,2019-09-06,"Other","Unknown","Pretrial","VTL 0509","Non-Felony","Non-Eligible"
2019-07-22,2019-08-01,"Black","Unknown","Pretrial","VTL 0509","Non-Felony","Non-Eligible"
2019-04-11,2019-04-26,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-09-04,2019-09-11,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-10,2020-02-05,"Black","Unknown","Other","VTL 0511","Non-Felony","Non-Eligible"
2019-07-05,2019-07-24,"Black","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-10-08,2019-10-16,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-08-16,2019-11-13,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-05-04,2019-05-06,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-04-30,2020-05-01,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-20,2019-04-24,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-16,2019-12-20,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-09,2019-03-29,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-18,2019-02-23,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-12-16,2019-12-21,"Black","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-01-21,2019-01-23,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-27,2019-02-27,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-24,2019-02-26,"Other","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-05-05,2019-05-07,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-09-03,2019-09-05,"Unknown","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-09-16,2019-09-19,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-09-22,2019-09-28,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-29,2019-04-04,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-09,2019-05-21,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
